,dyad,ec,ec_avg
456,D001,0.0,0.0
457,D001,0.0,0.159
458,D001,1.0,0.343
459,D001,1.0,0.465
460,D001,0.0,0.0
461,D001,0.0,0.222
462,D001,1.0,0.328
463,D001,0.0,0.0
464,D001,0.0,0.0
465,D001,0.0,0.0
466,D001,0.0,0.923
467,D001,1.0,0.22
468,D001,0.0,0.0
469,D001,0.0,0.485
470,D001,1.0,0.45
471,D001,1.0,0.643
472,D001,0.0,0.0
473,D001,0.0,0.0
474,D001,0.0,0.489
475,D001,0.0,0.037
476,D001,0.0,0.328
477,D001,1.0,0.965
478,D001,0.0,0.0
479,D001,0.0,0.0
480,D001,0.0,0.212
481,D001,0.0,0.356
482,D001,0.0,0.0
483,D001,0.0,0.0
484,D001,0.0,0.477
485,D001,0.0,0.0
486,D001,0.0,0.0
487,D001,0.0,0.0
488,D001,0.0,0.0
489,D001,0.0,0.0
490,D001,0.0,0.0
491,D001,0.0,0.0
492,D001,0.0,0.984
493,D001,1.0,1.0
494,D001,1.0,0.563
495,D001,0.0,0.663
496,D001,1.0,0.586
497,D001,0.0,0.997
498,D001,1.0,1.0
499,D001,1.0,0.052
500,D001,0.0,0.0
501,D001,0.0,0.217
502,D001,0.0,0.508
503,D001,0.0,0.0
504,D001,0.0,0.961
505,D001,1.0,1.0
506,D001,1.0,1.0
507,D001,1.0,1.0
508,D001,1.0,0.751
509,D001,0.0,0.483
510,D001,0.0,0.198
511,D001,0.0,0.0
512,D001,0.0,0.0
513,D001,0.0,0.204
514,D001,1.0,1.0
515,D001,1.0,0.132
516,D001,0.0,0.0
517,D001,0.0,0.0
518,D001,0.0,0.301
519,D001,0.0,0.072
520,D001,0.0,0.0
521,D001,0.0,0.955
522,D001,1.0,1.0
523,D001,1.0,1.0
524,D001,1.0,1.0
525,D001,1.0,1.0
526,D001,1.0,0.841
527,D001,0.0,0.1
528,D001,1.0,1.0
529,D001,1.0,1.0
530,D001,1.0,0.616
531,D001,1.0,1.0
532,D001,1.0,0.739
533,D001,0.0,0.553
534,D001,1.0,1.0
535,D001,1.0,1.0
536,D001,1.0,1.0
537,D001,1.0,1.0
538,D001,1.0,1.0
539,D001,1.0,0.926
540,D001,0.0,0.0
541,D001,0.0,0.0
542,D001,0.0,0.27
543,D001,1.0,0.542
544,D001,0.0,0.0
545,D001,0.0,0.0
546,D001,0.0,0.0
547,D001,0.0,0.574
548,D001,1.0,0.051
549,D001,0.0,0.342
550,D001,0.0,0.0
551,D001,0.0,0.0
552,D001,0.0,0.0
553,D001,0.0,0.0
554,D001,0.0,0.676
555,D001,1.0,0.608
556,D001,0.0,0.0
557,D001,0.0,0.0
558,D001,0.0,0.625
559,D001,1.0,0.373
560,D001,1.0,0.691
561,D001,0.0,0.72
562,D001,1.0,1.0
563,D001,1.0,1.0
564,D001,1.0,1.0
565,D001,1.0,0.604
566,D001,0.0,0.209
567,D001,1.0,1.0
568,D001,1.0,0.844
569,D001,0.0,0.0
570,D001,0.0,0.897
571,D001,1.0,0.261
572,D001,0.0,0.0
573,D001,0.0,0.0
574,D001,0.0,0.0
575,D001,0.0,0.717
576,D001,1.0,0.124
577,D001,1.0,0.609
578,D001,1.0,0.756
579,D001,0.0,0.0
580,D001,0.0,0.278
581,D001,1.0,1.0
582,D001,1.0,1.0
583,D001,1.0,0.401
584,D001,0.0,0.0
585,D001,0.0,0.0
586,D001,0.0,0.0
587,D001,0.0,0.685
588,D001,1.0,0.783
589,D001,0.0,0.0
590,D001,0.0,0.0
591,D001,0.0,0.14
592,D001,1.0,1.0
593,D001,1.0,1.0
594,D001,1.0,1.0
595,D001,1.0,0.14
596,D001,0.0,0.0
597,D001,0.0,0.0
598,D001,0.0,0.0
599,D001,0.0,0.579
600,D002,0.0,0.0
601,D002,0.0,0.0
602,D002,0.0,0.0
603,D002,0.0,0.0
604,D002,0.0,0.0
605,D002,0.0,0.0
606,D002,0.0,0.0
607,D002,0.0,0.609
608,D002,0.0,0.0
609,D002,0.0,0.0
610,D002,0.0,0.0
611,D002,0.0,0.0
612,D002,0.0,0.0
613,D002,0.0,0.0
614,D002,0.0,0.0
615,D002,0.0,0.0
616,D002,0.0,0.0
617,D002,0.0,0.0
618,D002,0.0,0.214
619,D002,0.0,0.69
620,D002,1.0,0.104
621,D002,0.0,0.0
622,D002,0.0,0.0
623,D002,0.0,0.0
624,D002,0.0,0.0
625,D002,0.0,0.0
626,D002,0.0,0.0
627,D002,0.0,0.0
628,D002,0.0,0.0
629,D002,0.0,0.07
630,D002,1.0,0.224
631,D002,0.0,0.0
632,D002,0.0,0.0
633,D002,0.0,0.0
634,D002,0.0,0.0
635,D002,0.0,0.0
636,D002,0.0,0.439
637,D002,0.0,0.0
638,D002,0.0,0.0
639,D002,0.0,0.875
640,D002,1.0,0.868
641,D002,0.0,0.0
642,D002,0.0,0.0
643,D002,0.0,0.0
644,D002,0.0,0.0
