,dyad,dtw,ec,engage_mean
472,D001,24.88461371372833,0.0,70.5
473,D001,41.29168822387082,0.0,70.5
474,D001,38.87494840980857,0.0,70.5
475,D001,17.222053098794674,0.0,70.5
476,D001,22.304789415975172,0.0,70.0
477,D001,27.71740093222033,1.0,69.5
478,D001,30.245900344865415,0.0,69.0
479,D001,20.5794363300622,0.0,68.5
480,D001,30.73015635920505,0.0,68.5
481,D001,37.99632369521552,0.0,69.0
482,D001,33.512792078805525,0.0,69.0
483,D001,96.29190416774702,0.0,69.0
484,D001,86.44380603479124,0.0,69.0
485,D001,13.836489374482316,0.0,68.0
486,D001,13.470469704581687,0.0,65.5
487,D001,13.52820189638503,0.0,65.5
488,D001,28.287927533768684,0.0,62.5
489,D001,31.702642780254568,0.0,64.0
490,D001,38.23958598112823,0.0,64.0
491,D001,35.717094245856764,0.0,64.0
492,D001,35.4041446818284,0.0,64.5
493,D001,43.43399307180475,1.0,64.5
494,D001,19.2500228098085,1.0,64.5
495,D001,29.834576875313413,0.0,65.0
496,D001,26.175345836055794,1.0,65.0
497,D001,11.080450465472692,0.0,65.0
498,D001,8.410600724380615,1.0,65.0
499,D001,4.733701634459557,1.0,65.0
500,D001,12.489774211054966,0.0,65.0
501,D001,19.24449149553319,0.0,68.0
502,D001,22.434950832294284,0.0,68.0
503,D001,6.36851542860512,0.0,68.0
504,D001,8.654546974735297,0.0,68.5
505,D001,12.363161609378256,1.0,68.5
506,D001,19.419922113158172,1.0,68.5
507,D001,12.729603298323577,1.0,68.5
508,D001,21.362029905585075,1.0,68.5
509,D001,13.758314514996671,0.0,68.5
510,D001,13.880606070050806,0.0,68.5
511,D001,12.986659305766633,0.0,68.5
512,D001,13.241859181612076,0.0,68.5
513,D001,21.396958195507537,0.0,68.0
514,D001,49.357050100815194,1.0,65.0
515,D001,18.72869533679258,1.0,65.0
516,D001,17.791682845764893,0.0,65.0
517,D001,30.567182614666905,0.0,65.0
518,D001,12.905313126466712,0.0,64.5
519,D001,37.47969200872546,0.0,65.0
520,D001,39.305947488362925,0.0,65.0
521,D001,46.208919170396605,0.0,64.0
522,D001,69.23599914826964,1.0,63.0
523,D001,16.221335815757936,1.0,61.5
524,D001,22.9339032345574,1.0,62.0
525,D001,4.642841708626207,1.0,62.0
526,D001,40.81359035955762,1.0,62.0
527,D001,22.772281098317613,0.0,62.0
528,D001,21.598364555356582,1.0,62.0
529,D001,15.462753587741801,1.0,62.0
530,D001,19.95471755549695,1.0,62.0
531,D001,18.77510872597183,1.0,62.0
532,D001,17.7423572608054,1.0,62.0
533,D001,12.594206575478445,0.0,65.5
534,D001,76.56964836463175,1.0,66.0
535,D001,61.81033581170474,1.0,66.0
536,D001,46.46970931293664,1.0,66.0
537,D001,77.39963683381949,1.0,66.0
538,D001,82.70932846660254,1.0,66.0
539,D001,27.635242158438956,1.0,66.0
540,D001,15.487031587548376,0.0,65.5
541,D001,10.485121176993815,0.0,61.5
542,D001,7.451020421312235,0.0,57.5
543,D001,19.895175985030157,1.0,55.0
544,D001,19.168658024145767,0.0,51.5
545,D001,8.027777384092015,0.0,51.0
546,D001,13.063503317820196,0.0,50.5
547,D001,15.70743434856759,0.0,47.0
548,D001,17.67640576529824,1.0,47.0
549,D001,64.80880574714814,0.0,47.0
550,D001,11.144222363133032,0.0,49.0
551,D001,16.264892454299293,0.0,49.5
552,D001,11.901929643975217,0.0,50.0
553,D001,6.3208017805399335,0.0,49.0
554,D001,6.2752236704055235,0.0,49.0
555,D001,17.90212591523195,1.0,49.0
556,D001,28.65447968283814,0.0,49.5
557,D001,10.336514112481803,0.0,49.5
558,D001,13.297278339722597,0.0,49.5
559,D001,5.78946495683113,1.0,49.5
560,D001,8.417802322074554,1.0,48.5
561,D001,6.139738112970214,0.0,48.5
562,D001,15.9080819117958,1.0,48.5
563,D001,6.734829568907156,1.0,48.5
564,D001,9.256389213108045,1.0,48.5
565,D001,4.781217945226766,1.0,48.5
566,D001,20.740091909854137,0.0,48.5
567,D001,43.611897052198984,1.0,48.5
568,D001,106.12433535176577,1.0,48.5
569,D001,119.9902914853009,0.0,48.5
570,D001,82.55463265595873,0.0,48.5
571,D001,9.93892696366862,1.0,48.5
572,D001,11.73508786708254,0.0,48.5
573,D001,20.73882065786385,0.0,51.5
574,D001,18.14749184589506,0.0,52.0
575,D001,12.017646664093405,0.0,51.5
576,D001,7.924365633381645,1.0,52.5
577,D001,13.797468169327411,1.0,53.5
578,D001,31.223424907954453,1.0,56.5
579,D001,22.632145661714908,0.0,56.5
580,D001,21.35803035372545,0.0,55.0
581,D001,35.21706052159383,1.0,57.5
582,D001,25.898465879679765,1.0,59.5
583,D001,4.48483327944816,1.0,59.5
584,D001,9.55983101673285,0.0,59.5
585,D001,12.27244566068032,0.0,60.0
586,D001,15.51223109621118,0.0,60.5
587,D001,20.018151492604176,0.0,60.5
588,D001,12.461621407973102,1.0,58.5
589,D001,9.925201336463934,0.0,59.0
590,D001,3.912213039608587,0.0,60.5
591,D001,8.417610207046847,0.0,57.0
592,D001,15.740937394181948,1.0,57.5
593,D001,5.23026351366933,1.0,58.0
594,D001,24.175676155772056,1.0,58.5
595,D001,26.241993764862748,1.0,59.0
596,D001,21.609882061649593,0.0,60.0
597,D001,27.044950717099145,0.0,60.0
598,D001,50.548484826695024,0.0,59.5
599,D001,36.21445494437963,0.0,59.5
600,D002,37.42995273230855,0.0,11.5
601,D002,31.150108687965307,0.0,11.5
602,D002,44.39448964000018,0.0,14.0
603,D002,22.09345051376313,0.0,21.0
604,D002,27.153609141764413,0.0,21.0
605,D002,42.801619556852415,0.0,21.0
606,D002,24.02634869982183,0.0,21.0
607,D002,36.91927113750823,0.0,21.5
608,D002,92.5945120898456,0.0,23.0
609,D002,72.70956235117931,0.0,25.0
610,D002,56.49113471203156,0.0,29.5
611,D002,54.36957734506476,0.0,29.5
612,D002,33.55364031391338,0.0,28.0
613,D002,27.903426931692877,0.0,28.0
614,D002,14.527995117983743,0.0,28.0
615,D002,45.70528076296792,0.0,28.0
616,D002,61.27255921786093,0.0,28.0
617,D002,77.97815713816865,0.0,28.0
618,D002,56.79973509094891,0.0,29.0
619,D002,37.14357239172553,0.0,29.5
620,D002,15.061646882139222,1.0,35.0
621,D002,11.586796245476464,0.0,45.0
622,D002,7.0719844928920725,0.0,50.5
623,D002,5.874855017499226,0.0,50.0
624,D002,21.161561240506405,0.0,50.0
625,D002,31.547321122479257,0.0,50.0
626,D002,59.88532125665612,0.0,50.0
627,D002,42.03386732391661,0.0,50.0
628,D002,42.03008910044723,0.0,50.0
629,D002,45.24939492750148,0.0,40.0
